date,t,volume,seares,sea,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,S2,S,CIMF1,CIMF2,CIMF3,CIMF4,CIMF5,CIMF6,IMF1,IMF2,IMF3,IMF4,IMF5,emdres,SSA1,SSA2,SSA3,SSA4,SSA5,SSA6,SSA7,SSA8,SSA9,SSA10,SSA11,SSA12,WD1,WD2,WD3,WD4,WD5,WD6,WD7,CE1,CE2,CE3,CE4,CE5,CE6,CE7,EE1,EE2,EE3,EE4,EE5,EE6,EE7,E1,E2,E3,E4
2007/3/31,15,24429,19360.89366,5068.10634,,,,,,,,,,,,,,,-206.195463,-53.10070174,416.617915,599.0980508,82.57689439,18521.89696,3372.670642,2344.313125,-627.7350826,53.75869765,19285.99262,21056.32936,,,,,,,,,,,,,668.6706001,3864.134253,167.2017948,783.5308673,205.3115927,57.18827023,18662.11437,2088.327836,2889.668189,188.8980559,73.38586597,111.1416808,2939.765369,16137.813,2083.753106,2850.696647,262.4261659,-123.4970514,164.6650816,13920.38959,5274.055249,,,,
2007/4/30,16,23345,19365.84184,3979.158162,,,,,,,,,,,,,,,335.4384087,-298.3378585,324.3434019,405.5553255,77.22695507,18521.61561,2801.602181,2314.988493,-988.1850272,-64.23250973,19280.82686,20543.39782,,,,,,,,,,,,,723.2269083,4036.052957,-695.6785581,389.34608,168.3608488,47.54831485,18654.93529,928.315336,3913.324925,-589.7425839,-55.41092029,73.50281035,2937.973874,16137.03656,926.6259626,3808.387147,-436.0815545,-222.0089347,90.22906605,13904.81838,5272.806082,,,,
2007/5/31,17,17304,18603.9899,-1299.989901,,,,,,,,,,,,,,,-201.4723299,-201.0414745,210.1633968,203.361462,71.68342536,18521.29542,-803.1278154,232.501459,-1221.074996,-179.8054995,19275.50685,18107.12782,,,,,,,,,,,,,-340.8533323,213.7912468,-1397.713383,-2.851778881,123.9111314,38.56085165,18647.9256,-1944.938695,1628.490543,-1321.846084,-165.6954192,35.69421175,2936.056233,16136.23921,-1942.819022,1483.057226,-1109.412758,-301.512611,16.33961613,13888.77664,5271.530551,,,,
2007/6/30,18,13741,18104.12041,-4363.120407,,,,,,,,,,,,,,,-650.0341262,89.4059596,79.66083821,-1.860446494,66.01256268,18520.93562,-1719.838019,-2196.339746,-1322.127392,-290.7523336,19270.05749,15460.83802,,,,,,,,,,,,,-958.2563318,-1985.582632,-1726.560479,-352.8595907,71.83041663,30.29042668,18640.80655,-1637.531463,-1625.363679,-1806.822109,-256.6107483,-2.113173719,2934.020261,16135.42091,-1630.833483,-1768.075793,-1583.735282,-360.4661505,-55.94431418,13872.35034,5270.230268,,,,
2007/7/31,19,15629,19142.53388,-3513.533881,,,,,,,,,,,,,,,596.1577955,231.8463267,-61.79899227,-204.4873499,60.28066753,18520.53543,1304.192746,-3257.76674,-1287.035622,-394.894071,19264.50369,14324.80725,,,,,,,,,,,,,1404.322125,-2267.558465,-1569.160812,-628.7307702,12.36064409,22.79702248,18633.71002,2147.717215,-3374.442174,-1842.637558,-328.3466097,-39.74719355,2931.87467,16134.58165,2147.525979,-3447.305595,-1672.635905,-397.6625554,-125.5774605,13855.62547,5268.90685,,,,
2007/8/31,20,14355,17546.49121,-3191.491207,,,,,,,,,,,,,,,-360.9816207,-67.95538772,-200.3236938,-398.8961993,54.55404149,18520.09407,-1477.641093,-1815.640478,-1120.276954,-490.3118221,19258.87035,15832.64109,,,,,,,,,,,,,-273.1011479,-2219.837926,-951.8037773,-810.456786,-53.88564725,16.12921483,18626.49537,-1113.976491,-1833.636833,-1300.232301,-383.6018249,-76.89998666,2929.625954,16133.72148,-1120.204724,-1771.972522,-1256.865619,-414.4940125,-191.540651,13838.68802,5267.561912,,,,
2007/9/30,21,16249,17682.6554,-1433.655397,,,,,,,,,,,,,,,142.0209602,-160.4989668,-287.912388,-579.4639455,48.8989861,18519.61075,-2443.434572,876.8431991,-861.8990582,-575.6919459,19253.18238,18692.43457,,,,,,,,,,,,,-1411.211648,66.90984754,-40.09795251,-891.8321293,-125.9057373,10.32777008,18619.45125,-2829.50423,945.1240764,-384.1842589,-429.2961094,-113.2584642,2927.278428,16132.84056,-2830.526197,1156.919458,-491.0196847,-417.612314,-252.8687737,13821.62399,5266.197076,,,,
2007/10/31,22,24697,17477.49369,7219.506307,,,,,,,,,,,,,,,-191.3531739,126.1562391,-279.1625655,-740.6133345,43.38181185,18519.08471,3544.996687,3115.252949,-560.8494563,-649.8648643,19247.46468,21152.00331,,,,,,,,,,,,,1986.892375,4247.443302,906.1629525,-880.2553751,-202.3475962,5.42211728,18612.30955,3269.250885,2357.376341,636.1610304,-474.0594017,-148.5052709,2924.837322,16131.93909,3270.30544,2677.175515,401.8749292,-415.0284719,-308.5952843,13804.5194,5264.81397,,,,
2007/11/30,23,22482,18217.89916,4264.100839,,,,,,,,,,,,,,,633.9232502,88.48078203,-183.9034829,-877.1856306,38.06901697,18518.51522,439.9690442,3778.025448,-266.0756689,-711.6609996,19241.74218,22042.03096,,,,,,,,,,,,,-891.9503849,4210.624651,1611.492913,-794.5657879,-281.5195488,1.436339068,18605.23222,1140.941015,1503.499214,1491.913503,-525.3998346,-182.2771213,2922.305904,16131.01732,1149.68019,1847.933027,1203.715772,-414.7514325,-357.7881049,13787.46027,5263.414227,,,,
2007/12/31,24,16763,18478.51952,-1715.519521,,,,,,,,,,,,,,,1070.096451,-91.48788147,-66.10427303,-984.914119,33.02772017,18517.90162,-4837.124989,3142.408349,-18.41234559,-759.9107736,19236.03976,21600.12499,,,,,,,,,,,,,-750.6068306,-1952.098804,1870.632458,-661.3068593,-361.4626571,-1.616681185,18598.10952,-3098.39062,-370.1949214,1987.565832,-591.596635,-214.145912,2919.686753,16130.0755,-3090.538454,-78.41969141,1720.14125,-424.5847533,-399.7214116,13770.5326,5261.999485,,,,
2008/1/31,25,14459,15987.45379,-1528.453787,,,,,,,,,,,,,,,-1479.548457,-32.48160818,13.82505859,-1059.909683,28.32519876,18517.24328,-5943.660233,1791.965153,173.7573491,-793.4446084,19230.38234,20402.66023,,,,,,,,,,,,,1377.997054,-6189.309006,1611.722642,-510.0248334,-439.9882843,-3.732412516,18591.24425,-4060.233461,-1575.699985,1971.259151,-678.7268867,-243.6937151,2916.980929,16129.11397,-4057.724129,-1393.792613,1777.968834,-451.6870004,-433.9151226,13753.82185,5260.571388,,,,
2008/2/29,26,15637,19167.44749,-3530.44749,,,,,,,,,,,,,,,1544.023762,129.0772643,54.48260233,-1100.704449,24.02865519,18516.53965,-3331.898189,245.03317,310.1631221,-811.092926,19224.79482,18968.89819,,,,,,,,,,,,,-635.5170958,-2359.661013,915.0136907,-368.3837596,-514.7789926,-4.916917964,18584.35739,-2771.844835,-940.9859874,1361.084503,-782.9456017,-270.6319968,2914.190752,16128.13317,-2768.171461,-915.3233447,1281.676261,-498.9241768,-460.1879577,13737.41048,5259.131583,,,,
2008/3/31,27,21099,16116.07769,4982.922307,,,,,,,,,,,,,,,-1237.23562,-143.8957035,69.37337143,-1108.159906,20.20484473,18515.7907,3516.247801,-1215.39845,390.5346801,-811.6860379,19219.30201,17582.7522,,,,,,,,,,,,,-488.2255101,3852.793957,-17.19416905,-257.8311108,-583.4513367,-5.18127403,18577.58252,2252.87103,650.1363375,345.3250616,-893.0340304,-294.7520289,2911.319944,16127.13369,2252.451962,466.7447341,439.7601757,-558.982835,-478.5601338,13721.37168,5257.681726,,,,
2008/4/30,28,22084,18095.96603,3988.033974,,,,,,,,,,,,,,,812.2799186,-230.8192379,66.65075395,-1084.047558,16.90454023,18514.99761,5613.48669,-2363.962852,414.60173,-794.0527068,19213.92714,16470.51331,,,,,,,,,,,,,887.3646056,4370.029634,-925.8841288,-190.5191847,-643.6626469,-4.546783166,18570.78128,3364.729711,1693.258222,-697.4117363,-995.2408969,-315.8255907,2908.374052,16126.11624,3355.0589,1331.445183,-451.0311105,-622.039201,-489.085945,13705.76258,5256.223484,,,,
2008/5/31,29,16291,17447.53156,-1156.531563,,,,,,,,,,,,,,,-256.945992,155.4771321,51.34592683,-1030.62576,14.1177688,18514.16248,448.655421,-2991.42117,382.5238914,-757.4470739,19208.68893,15842.34458,,,,,,,,,,,,,-318.3299278,460.5250465,-1571.447266,-167.8827933,-693.1805652,-3.042905396,18564.24568,-967.1690386,1082.151366,-1444.384418,-1076.481825,-333.5589335,2905.361223,16125.08163,-984.5618314,631.1069586,-1135.285783,-678.2186949,-491.8091922,13690.62199,5254.758528,,,,
2008/6/30,30,13187,17638.39404,-4451.394039,,,,,,,,,,,,,,,-366.9725266,410.3065695,20.85115972,-950.8981632,11.81893913,18513.28806,-2648.478914,-2963.214474,298.1793655,-703.0909707,19203.60499,15835.47891,,,,,,,,,,,,,-535.245415,-2147.284583,-1796.270463,-181.1082837,-729.9934718,-0.708334907,18557.71027,-1832.189793,-761.7381561,-1772.894911,-1124.916021,-347.5826006,2902.290798,16124.03068,-1839.578274,-1206.611989,-1493.929163,-717.5680598,-486.778976,13675.97485,5253.288535,,,,
2008/7/31,31,14172,17711.97712,-3539.97712,,,,,,,,,,,,,,,-350.9192334,417.7370688,-28.40843275,-848.7918327,9.982331015,18512.37722,-2451.237095,-2117.533333,175.7102202,-633.6327212,19198.69293,16623.2371,,,,,,,,,,,,,630.2019549,-2507.582793,-1558.169765,-213.2982686,-752.3848256,2.414524147,18551.33946,838.9486526,-2583.444962,-1617.349396,-1130.692164,-357.6004315,2899.173992,16122.96431,835.3126865,-2931.1734,-1442.103876,-730.999469,-474.1242563,13661.83828,5251.815187,,,,
2008/8/31,32,15129,18140.06347,-3011.06347,,,,,,,,,,,,,,,270.1582035,174.3804466,-95.49441433,-728.9958214,8.582224268,18511.43283,-3228.636361,-322.9745724,38.61037923,-551.9697946,19193.97035,18357.63636,,,,,,,,,,,,,479.0856016,-1987.602162,-931.0312048,-242.986467,-759.017766,6.275252217,18545.02413,591.4245152,-2081.386884,-942.6465962,-1092.775824,-363.5203387,2896.021647,16121.88348,610.6131859,-2265.483341,-946.6136833,-714.3244303,-454.2171585,13648.22562,5250.340173,,,,
2008/9/30,33,15928,17281.16465,-1353.164651,,,,,,,,,,,,,,,-183.3108061,-289.7746214,-167.4510769,-596.3495166,7.592898692,18510.45777,-4388.495893,1675.828697,-87.78800259,-460.9996601,19189.45486,20316.49589,,,,,,,,,,,,,-1975.391307,411.209516,-79.01982901,-248.3457391,-748.9867677,10.81709998,18539.06646,-2356.76417,670.555862,-22.43111313,-1011.492529,-365.5022143,2892.844841,16120.78932,-2348.679734,684.6498546,-199.4144052,-667.2141703,-427.7578757,13635.14838,5248.865193,,,,
2008/10/31,34,24638,17447.99521,7190.004794,,,,,,,,,,,,,,,177.3885069,-561.7362567,-228.4082847,-455.6923061,6.988634092,18509.45492,3334.427453,2660.181039,-178.2090624,-363.5634947,19185.16407,21303.57255,,,,,,,,,,,,,2335.542996,3883.208037,785.2624983,-211.4285222,-721.8784692,15.9764911,18533.18438,2484.972427,3574.611045,820.2446456,-887.3962359,-363.7714696,2889.656621,16119.68297,2481.554572,3739.296622,535.3559252,-589.6121596,-395.632611,13622.61722,5247.391943,,,,
2008/11/30,35,21975,17785.74967,4189.250325,,,,,,,,,,,,,,,146.0801132,-299.0439619,-264.8008608,-311.6564683,6.743710274,18508.42714,1774.093877,1495.313447,-213.3329709,-262.1899291,19181.11558,20200.90612,,,,,,,,,,,,,-795.9069965,3555.196821,1448.517364,-121.7059699,-677.8037933,21.68812556,18527.50722,-276.988313,3020.759281,1307.751011,-722.9994544,-358.5574933,2886.469467,16118.5655,-287.4134989,3223.023165,1022.385046,-481.1544215,-358.7283054,13610.64256,5245.922103,,,,
2008/12/31,36,16229,17926.86338,-1697.863377,,,,,,,,,,,,,,,-529.6609907,382.6439631,-272.4039861,-167.9253237,6.832407043,18507.37731,-1681.243315,-911.262243,-196.9059192,-158.9155213,19177.327,17910.24332,,,,,,,,,,,,,-1778.594357,-1706.643456,1743.031539,21.6597778,-617.4123176,27.88098834,18521.8905,-2755.730465,-515.3372679,1370.301074,-520.8817869,-350.0825251,2883.293015,16117.43796,-2759.69741,-362.7813996,1168.320218,-341.5462496,-317.9177753,13599.2348,5244.457311,,,,
2009/1/31,37,18074,19746.41201,-1672.41201,,,,,,,,,,,,,,,933.8692465,576.2783341,-249.8632661,-27.40961725,7.229004204,18506.30831,1931.987155,-2837.70868,-138.7500372,-55.34437801,19173.81594,16142.01285,,,,,,,,,,,,,3582.446359,-5329.162137,1585.75863,209.1606151,-541.8825546,34.47980045,18516.6198,2874.131148,-4203.308691,1032.154275,-286.9661965,-338.4448891,2880.132946,16116.30141,2877.423143,-4136.493151,952.161781,-173.4392347,-274.0685769,13588.40431,5242.999137,,,,
2009/2/28,38,13732,17279.51301,-3547.513005,,,,,,,,,,,,,,,-1088.30705,-59.33988776,-193.4047799,107.4339398,7.907781563,18505.22301,-3186.240727,-2250.212286,-49.15265763,47.00566272,19170.60001,16918.24073,,,,,,,,,,,,,-3480.740762,-2328.910759,1003.601066,422.0256734,-452.9002989,41.4047697,18511.42265,-2896.317686,-2378.653136,377.7899522,-39.21921376,-323.747715,2876.990792,16115.15701,-2895.686972,-2386.452757,411.594586,10.67783262,-228.017794,13578.16148,5241.549105,,,,
2009/3/31,39,23985,19049.88301,4935.116988,,,,,,,,,,,,,,,908.256587,-517.7291486,-87.84374031,234.2320144,8.843018925,18504.12428,4807.297766,-196.6944872,60.08314862,146.6167627,19167.69681,19177.70223,,,,,,,,,,,,,1930.511143,3064.818943,137.0367445,634.8127162,-352.6188694,48.57671237,18506.45729,2740.425859,2736.763664,-374.8748915,200.9566855,-306.1411029,2873.863825,16114.00596,2734.750845,2680.675462,-252.5299764,194.3859384,-180.5261455,13568.51672,5240.108713,,,,
2009/4/30,40,22165,18155.81685,4009.183145,,,,,,,,,,,,,,,-602.6306999,-180.5566291,75.36891048,350.6112737,10.00899597,18503.015,1230.328928,1350.800661,176.7753762,241.9710838,19165.12395,20934.67107,,,,,,,,,,,,,-384.1815789,4186.444574,-785.3312972,819.1540838,-243.5944566,55.913526,18501.6092,-459.2845467,4483.964809,-970.2874667,412.8167863,-285.8066908,2870.747665,16112.84944,-467.0115933,4407.757528,-799.2025371,360.8649696,-132.2831587,13559.48058,5238.679434,,,,
2009/5/31,41,18960,19983.33728,-1023.337278,,,,,,,,,,,,,,,359.6832091,389.4325818,266.7450707,454.1983914,11.37998574,18501.89804,-3048.307709,2225.115861,288.7420196,331.550788,19162.89904,22008.30771,,,,,,,,,,,,,-17.65871736,1086.043907,-1502.418898,947.990062,-128.7079189,63.33188593,18497.17689,-1688.272063,2544.068863,-1187.277193,575.1451478,-262.9890542,2867.635695,16111.68861,-1681.136053,2475.935355,-1032.227627,493.5228165,-83.93600332,13551.06363,5237.262739,,,,
2009/6/30,42,15173,19696.08401,-4523.084011,,,,,,,,,,,,,,,-212.4496481,404.9197269,447.2873484,542.6200659,12.93023644,18500.77628,-7537.958276,2752.27948,383.8010734,413.8380369,19161.03969,22710.95828,,,,,,,,,,,,,-647.9571105,-1948.397421,-1796.518482,999.7191414,-11.07297387,70.74662355,18492.87577,-1860.216142,-1332.509348,-1042.829971,671.3891488,-237.8806018,2864.522481,16110.52443,-1841.608453,-1369.265041,-937.1442604,579.2978331,-36.11558542,13543.27637,5235.860096,,,,
2009/7/31,43,16108,19761.33309,-3653.333086,,,,,,,,,,,,,,,149.1426137,-92.14517132,576.5460651,613.5030023,14.63398979,18499.65259,-7203.645954,3214.996935,449.7705324,487.3149926,19159.56349,23311.64595,,,,,,,,,,,,,1080.727591,-3052.95301,-1567.088593,961.536539,106.0624588,78.07555947,18488.83433,1785.442821,-4540.615951,-601.2038363,704.2340291,-210.6193677,2861.404461,16109.35784,1804.097949,-4540.963299,-556.0027759,617.0374434,10.5837053,13536.12894,5234.472978,,,,
2009/8/31,44,16473,19228.68788,-2755.687877,,,,,,,,,,,,,,,-176.956226,-382.0875276,608.2548191,664.4814898,16.46547922,18498.52985,-7357.84334,3647.423061,474.4683909,550.4638169,19158.48807,23830.84334,,,,,,,,,,,,,-24.75467057,-2261.68248,-873.964949,831.5422481,219.4251428,85.23589743,18484.9081,327.4221433,-3365.536191,44.21437509,681.7419002,-181.3110064,2858.279005,16108.18977,342.1019454,-3335.120601,35.09963213,610.6889757,55.71790187,13529.63055,5233.102853,,,,
2009/9/30,45,18496,19767.87286,-1271.872859,,,,,,,,,,,,,,,236.0542969,-188.0855165,510.0814273,694.0128273,18.39890539,18497.41092,-5379.622133,3668.229225,447.6561851,601.9056978,19157.83103,23875.62213,,,,,,,,,,,,,-1957.423852,851.0765473,72.25175893,619.2501396,325.8272589,92.14628543,18481.38339,-2434.497283,812.66277,694.5470051,611.224063,-150.0996787,2855.141879,16107.02125,-2435.261239,865.7519882,644.0643658,564.695574,98.9869514,13523.78844,5231.751186,,,,
2009/10/31,46,27338,20210.63154,7127.368457,,,,,,,,,,,,,,,465.4306537,213.4077817,311.3533655,703.7326725,20.40837969,18496.29869,4418.73906,2751.487388,369.1018818,641.0617074,19157.60996,22919.26094,,,,,,,,,,,,,2685.147472,4322.321037,976.2224721,344.5074745,422.2764647,98.72556022,18477.98802,2547.517723,4317.723896,1132.176909,499.9953608,-117.2568006,2851.989633,16105.85328,2535.356671,4378.395452,1051.135141,483.5741506,140.1180802,13518.60606,5230.41943,,,,
2009/11/30,47,23077,18970.4983,4106.501702,,,,,,,,,,,,,,,-779.1218814,479.1037237,56.78306594,696.0753028,22.46206709,18495.19602,2396.077781,605.166616,249.4460512,668.4670587,19157.84249,20680.92222,,,,,,,,,,,,,-1023.054782,3410.176404,1559.038128,34.96958037,506.0810448,104.8975724,18474.87994,-178.6677282,2839.694382,1188.246128,357.3610398,-83.13982816,2848.819099,16104.68691,-187.0764645,2881.644399,1091.232864,372.6105886,178.8585977,13514.08036,5229.109019,,,,
